Radius\Confidence,0,0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95
1295,50266,50266,49857,36096,28870,24417,21520,19560,18240,17222,16526,15982,15604,15336,15118,15065,15013,15171,15635,16688
1310,50255,50255,49846,36085,28862,24405,21509,19551,18232,17215,16520,15976,15598,15329,15112,15058,15007,15167,15632,16685
1325,50248,50248,49839,36075,28854,24395,21499,19542,18223,17207,16509,15967,15587,15319,15103,15051,15001,15163,15628,16682
1340,50236,50236,49827,36060,28841,24382,21487,19529,18212,17196,16498,15956,15576,15311,15095,15043,14995,15157,15622,16677
1355,50232,50232,49824,36058,28836,24376,21483,19524,18205,17189,16491,15951,15571,15307,15091,15039,14991,15153,15618,16672
1370,50226,50226,49818,36051,28829,24369,21478,19521,18205,17189,16491,15951,15571,15307,15091,15039,14991,15153,15618,16672
1385,50217,50217,49809,36039,28816,24358,21470,19515,18200,17185,16487,15947,15566,15303,15088,15036,14988,15151,15615,16670
1400,50206,50206,49797,36029,28806,24348,21463,19508,18196,17181,16483,15943,15561,15298,15083,15031,14982,15146,15610,16665
1415,50201,50201,49792,36023,28802,24344,21459,19505,18193,17178,16479,15939,15557,15294,15078,15027,14978,15143,15608,16664
1430,50198,50198,49789,36018,28797,24339,21455,19500,18188,17174,16475,15936,15554,15291,15075,15023,14974,15139,15605,16660
1445,50192,50192,49783,36006,28786,24332,21449,19495,18187,17173,16475,15936,15553,15290,15074,15022,14972,15138,15604,16659
1460,50185,50185,49776,35997,28779,24325,21443,19491,18184,17171,16473,15935,15553,15290,15074,15022,14972,15138,15604,16659
1475,50184,50184,49775,35995,28778,24322,21441,19491,18183,17170,16472,15934,15551,15288,15071,15019,14969,15136,15602,16658
1490,50181,50181,49772,35991,28775,24319,21439,19489,18181,17168,16470,15932,15548,15285,15069,15018,14968,15135,15601,16657
1505,50181,50181,49772,35991,28774,24318,21439,19489,18181,17168,16470,15932,15548,15285,15069,15018,14968,15135,15601,16657
1520,50179,50179,49770,35988,28770,24315,21438,19489,18181,17168,16470,15932,15548,15285,15069,15018,14968,15135,15601,16657
1535,50179,50179,49770,35988,28770,24315,21438,19489,18181,17168,16470,15931,15547,15284,15068,15017,14967,15135,15601,16657
1550,50178,50178,49769,35987,28769,24314,21437,19488,18180,17168,16470,15931,15547,15284,15068,15017,14967,15135,15601,16657
1565,50174,50174,49765,35986,28768,24313,21437,19488,18180,17168,16470,15931,15547,15284,15068,15017,14967,15134,15600,16656
1580,50173,50173,49764,35985,28768,24313,21437,19488,18180,17168,16470,15931,15547,15284,15068,15017,14967,15134,15600,16656
1595,50173,50173,49764,35985,28768,24313,21437,19488,18180,17168,16470,15931,15547,15284,15068,15017,14967,15134,15600,16656
1610,50172,50172,49763,35984,28767,24312,21437,19488,18180,17168,16470,15931,15547,15284,15068,15017,14967,15134,15600,16656
1625,50170,50170,49761,35981,28766,24311,21436,19487,18179,17167,16469,15930,15546,15283,15067,15015,14965,15132,15598,16654
1640,50169,50169,49760,35979,28761,24307,21431,19482,18175,17163,16465,15926,15542,15279,15064,15012,14962,15129,15595,16652
1655,50168,50168,49759,35979,28759,24306,21430,19481,18174,17162,16464,15926,15542,15279,15064,15012,14962,15129,15595,16652
1670,50167,50167,49758,35978,28758,24305,21429,19480,18173,17161,16463,15925,15540,15277,15063,15011,14961,15129,15595,16652
1685,50167,50167,49758,35978,28758,24305,21429,19480,18173,17161,16463,15925,15540,15277,15063,15011,14961,15129,15595,16652
1700,50166,50166,49757,35976,28756,24303,21428,19479,18172,17160,16463,15925,15540,15277,15063,15011,14961,15129,15595,16652
1715,50166,50166,49757,35976,28756,24303,21428,19479,18171,17160,16463,15925,15540,15277,15063,15011,14961,15129,15595,16652
1730,50166,50166,49757,35975,28756,24303,21428,19479,18171,17160,16463,15925,15540,15277,15063,15011,14961,15129,15595,16652
1745,50166,50166,49757,35975,28756,24303,21428,19479,18171,17160,16463,15925,15540,15277,15063,15011,14961,15129,15595,16652
1760,50165,50165,49756,35974,28755,24302,21428,19479,18171,17160,16463,15925,15540,15277,15063,15011,14961,15129,15595,16652
1775,50165,50165,49756,35974,28755,24302,21428,19479,18171,17160,16463,15925,15540,15277,15063,15011,14961,15129,15595,16652
1790,50165,50165,49756,35974,28755,24302,21428,19479,18171,17160,16463,15925,15540,15277,15063,15011,14961,15129,15595,16652
1805,50165,50165,49756,35974,28755,24302,21428,19479,18171,17160,16463,15925,15540,15277,15063,15011,14961,15129,15595,16652
1820,50165,50165,49756,35974,28755,24302,21428,19479,18171,17160,16463,15925,15540,15277,15063,15011,14961,15129,15595,16652
1835,50165,50165,49756,35974,28755,24302,21428,19479,18171,17160,16463,15925,15540,15277,15063,15011,14961,15129,15595,16652
1850,50165,50165,49756,35974,28755,24302,21428,19479,18171,17160,16463,15925,15540,15277,15063,15011,14961,15129,15595,16652
1865,50165,50165,49756,35974,28755,24302,21428,19479,18171,17160,16463,15925,15540,15277,15063,15011,14961,15129,15595,16652
1880,50165,50165,49756,35974,28755,24302,21428,19479,18171,17160,16463,15925,15540,15277,15063,15011,14961,15129,15595,16652
1895,50165,50165,49756,35974,28755,24302,21428,19479,18171,17160,16463,15925,15540,15277,15063,15011,14961,15129,15595,16652
1910,50165,50165,49756,35974,28755,24302,21428,19479,18171,17160,16463,15925,15540,15277,15063,15011,14961,15129,15595,16652
1925,50165,50165,49756,35974,28755,24302,21428,19479,18171,17160,16463,15925,15540,15277,15063,15011,14961,15129,15595,16652
1940,50165,50165,49756,35974,28755,24302,21428,19479,18171,17160,16463,15925,15540,15277,15063,15011,14961,15129,15595,16652
1955,50165,50165,49756,35974,28755,24302,21428,19479,18171,17160,16463,15925,15540,15277,15063,15011,14961,15129,15595,16652
1970,50165,50165,49756,35974,28755,24302,21428,19479,18171,17160,16463,15925,15540,15277,15063,15011,14961,15129,15595,16652
1985,50165,50165,49756,35974,28755,24302,21428,19479,18171,17160,16463,15925,15540,15277,15063,15011,14961,15129,15595,16652
