Step,DetectionBoxes_Precision/mAP,DetectionBoxes_Precision/mAP (large),DetectionBoxes_Precision/mAP (medium),DetectionBoxes_Precision/mAP (small),DetectionBoxes_Precision/mAP@.50IOU,DetectionBoxes_Precision/mAP@.75IOU,DetectionBoxes_Recall/AR@1,DetectionBoxes_Recall/AR@10,DetectionBoxes_Recall/AR@100,DetectionBoxes_Recall/AR@100 (large),DetectionBoxes_Recall/AR@100 (medium),DetectionBoxes_Recall/AR@100 (small),Loss/BoxClassifierLoss/classification_loss,Loss/BoxClassifierLoss/localization_loss,Loss/RPNLoss/localization_loss,Loss/RPNLoss/objectness_loss,Loss/total_loss,loss
80000,0.15178113,0.21606481,0.15929718,0.05082508,0.2712313,0.15674782,0.37229896,0.47092423,0.47635412,0.56306773,0.366603,0.0504329,0.10233947,0.043146495,0.02847752,0.36494106,0.538904,0.538904
82000,0.15095015,0.19066396,0.123554684,0.048844885,0.28198892,0.15866669,0.35469902,0.4507544,0.4697913,0.47872046,0.3364557,0.048039217,0.10618689,0.041249532,0.024628328,0.3610625,0.53312796,0.53312796
84000,0.15000719,0.19141538,0.18557921,0.049834985,0.29080877,0.14707443,0.36069614,0.44363308,0.44794372,0.48421347,0.34415153,0.048333332,0.087776415,0.04339382,0.030412644,0.35100228,0.51258546,0.51258546
86000,0.15706536,0.22466764,0.21678455,0.042574257,0.2961981,0.15644142,0.32817596,0.46226227,0.47016945,0.58854467,0.3827941,0.04179894,0.10489617,0.04591094,0.02808905,0.34826416,0.52716005,0.52716005
90000,0.16254798,0.19344833,0.14905927,0.037953794,0.30875236,0.15837632,0.41699588,0.51269525,0.52277756,0.55150753,0.4476865,0.036904763,0.1045975,0.03990042,0.027298698,0.35656878,0.52836573,0.52836573
92000,0.17662525,0.20809324,0.15242173,0.15049505,0.3383042,0.15844132,0.37609568,0.47889423,0.48990157,0.559127,0.3919276,0.1465,0.10020011,0.040889736,0.023328649,0.35985243,0.52427065,0.52427065
94000,0.17811577,0.25897348,0.19679667,0.020462045,0.32076922,0.19255407,0.38620427,0.46434686,0.4834334,0.57229435,0.34021243,0.021195652,0.106912814,0.039394308,0.026657533,0.36390406,0.536869,0.536869
96000,0.18509246,0.26309174,0.18509747,0.0980198,0.35568407,0.16764896,0.3825975,0.46326622,0.47752613,0.5611232,0.34775725,0.095454544,0.102893166,0.03623627,0.024283,0.35928634,0.5226988,0.5226988
98000,0.16890956,0.23118663,0.12759557,0.098514855,0.34797734,0.1583983,0.36965066,0.49187002,0.50502986,0.5925601,0.37256145,0.09714286,0.10520723,0.04223967,0.03233402,0.36460486,0.5443856,0.5443856
100000,0.17362335,0.20481612,0.12562466,0.10660066,0.3097412,0.1724917,0.39864528,0.48124772,0.5044506,0.5444072,0.33148688,0.10636364,0.11325466,0.043466747,0.028307501,0.3563613,0.5413902,0.5413902
102000,0.14768016,0.17036319,0.14017075,0.09701477,0.26492548,0.14142524,0.29456732,0.44686294,0.45645338,0.52811605,0.31203854,0.10080645,0.11261849,0.043141015,0.026734276,0.35382983,0.5363241,0.5363241
104000,0.15740593,0.23282926,0.113820046,0.04910341,0.2871962,0.15878797,0.33700937,0.41774896,0.4245727,0.5669418,0.2263063,0.050089605,0.11707121,0.0357522,0.030744573,0.35672116,0.54028916,0.54028916
106000,0.15376063,0.21277592,0.095427625,0.045214523,0.2815924,0.15726224,0.31413624,0.43276483,0.43762055,0.56320727,0.23459223,0.043333333,0.105825074,0.040609237,0.022533845,0.35613635,0.52510405,0.52510405
108000,0.16787118,0.19036035,0.20080294,0.08168317,0.29878834,0.17468385,0.37623316,0.51811475,0.5247082,0.58316463,0.43867543,0.085403726,0.10601079,0.043512404,0.029709272,0.3522059,0.5314379,0.5314379
110000,0.19182089,0.27413064,0.10085195,0.011551155,0.3523997,0.19155666,0.42581743,0.5041794,0.5137886,0.6065808,0.38392553,0.01010101,0.086561486,0.038053293,0.02343476,0.35512993,0.50317985,0.50317985
112000,0.1539869,0.18717429,0.1760589,0.010891089,0.28464183,0.15827699,0.3022638,0.47267053,0.48713422,0.5698843,0.3648895,0.010784314,0.13635004,0.03743004,0.027742343,0.359949,0.561471,0.561471
114000,0.155235,0.21716295,0.10846622,0.044286303,0.3104503,0.15151955,0.36809617,0.46870607,0.4755799,0.5725812,0.39240217,0.0482906,0.12131487,0.041646607,0.03033643,0.35902268,0.55232024,0.55232024
